Date,Amount,Merchant,Category,,,
12/7/2023,-10,Amex Send Offer     Credit,Business Services-Other Services,,,
12/7/2023,111.48,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
12/5/2023,49.68,Amex Send: Add Money,Other-Miscellaneous,,,
12/2/2023,11.66,RAISING CANES 0690  FULLERTON           CA,Restaurant-Bar & Café,,,
12/1/2023,18.31,AplPay WINGSTOP 1229FULLERTON           CA,Other-Miscellaneous,,,
11/30/2023,3.59,AplPay ALOHA JAVA   FULLERTON           CA,Restaurant-Bar & Café,,,
11/30/2023,8.38,AplPay CSUF CARL'S JFULLERTON           CA,Restaurant-Bar & Café,,,
11/30/2023,5.17,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
11/29/2023,5.23,AplPay UNION 76 0949CORONA              CA,Transportation-Fuel,,,
11/28/2023,9.57,AplPay ALOHA JAVA   FULLERTON           CA,Restaurant-Bar & Café,,,
11/28/2023,5.39,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
11/28/2023,12.93,AplPay HIBACHI SAN #FULLERTON           CA,Restaurant-Bar & Café,,,
11/27/2023,3.49,AplPay VONS #2659 26RIVERSIDE           CA,Merchandise & Supplies-Groceries,,,
11/24/2023,10.34,COLD STONE CREAMERY RIVERSIDE           CA,Other-Miscellaneous,,,
11/24/2023,-146.53,MOBILE PAYMENT - THANK YOU,,,,
11/23/2023,3.77,CHATSWORTH LAKE LIQUCHATSWORTH          CA,Merchandise & Supplies-Groceries,,,
11/23/2023,12,POINT.ME            NEW YORK            NY,Business Services-Professional Services,,,
11/22/2023,5,KP RX01069 0029     COLTON              CA,Merchandise & Supplies-Pharmacies,,,
11/21/2023,-29,CR ADJ - RET CHECK FEE,Fees & Adjustments-Fees & Adjustments,,,
11/21/2023,-783.74,MOBILE PAYMENT - THANK YOU,,,,
11/21/2023,29,RETURN PAYMENT FEE,Fees & Adjustments-Fees & Adjustments,,,
11/21/2023,96.23,STATER BROS MARKETS YUCCA VALLEY        CA,Merchandise & Supplies-Groceries,,,
11/20/2023,21.3,ARCO #42446 AMPM ARCYUCCA VALLEY        CA,Transportation-Fuel,,,
11/20/2023,8.14,AplPay IN-N-OUT HESPHESPERIA            CA,Restaurant-Bar & Café,,,
11/20/2023,22.29,FRONTIER            YUCCA VALLEY        CA,Restaurant-Bar & Café,,,
11/18/2023,-816.28,AUTOPAY PAYMENT - THANK YOU,,,,
11/18/2023,18.61,AplPay MCDONALD'S F2LONE PINE           CA,Restaurant-Bar & Café,,,
11/18/2023,124.69,JOHNS PIZZA WORKS 65MAMMOTH LAKES       CA,Restaurant-Restaurant,,,
11/18/2023,11.19,VONS #1753 1753     BISHOP              CA,Merchandise & Supplies-Groceries,,,
11/17/2023,30.63,BAKERS - 148 0000000RIVERSIDE           CA,Restaurant-Bar & Café,,,
11/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
11/16/2023,10.76,AplPay ALOHA JAVA   FULLERTON           CA,Restaurant-Bar & Café,,,
11/16/2023,52.11,AplPay SPORTS BASEMEFOUNTAIN VALL       CA,Other-Miscellaneous,,,
11/15/2023,12.07,CHIPOTLE 0333 0000  RIVERSIDE           CA,Restaurant-Bar & Café,,,
11/14/2023,12.07,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
11/14/2023,27.14,AplPay WINGSTOP 1229FULLERTON           CA,Other-Miscellaneous,,,
11/13/2023,3.35,AplPay CSUF EMPORI-YFULLERTON           CA,Other-Miscellaneous,,,
11/13/2023,10.99,AplPay CSUF FOOD COUFULLERTON           CA,Other-Education,,,
11/12/2023,42.24,IHOP                SANTA BARBARA       CA,Restaurant-Restaurant,,,
11/12/2023,84.84,SPEEDWAY 4877 SPWY64SANTA BARBARA       CA,Transportation-Fuel,,,
11/11/2023,6.25,HANDLEBAR CAFE INC. Santa Barbara       CA,Restaurant-Restaurant,,,
11/11/2023,18.22,TST* SANTA BARBARA CSANTA BARBARA       CA,Restaurant-Restaurant,,,
11/10/2023,9.87,IN-N-OUT GLENDALE 2 GLENDALE            CA,Restaurant-Bar & Café,,,
11/10/2023,5.3,WAL-MART SUPERCENTERDOWNEY              CA,Merchandise & Supplies-Wholesale Stores,,,
11/10/2023,117.8,WAL-MART SUPERCENTERDOWNEY              CA,Merchandise & Supplies-Wholesale Stores,,,
11/9/2023,50.2,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
11/9/2023,6.95,KUNG FU TEA 43684555RIVERSIDE           CA,Restaurant-Bar & Café,,,
11/9/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
11/9/2023,48.4,PIZZATWISTCENTRALAVERIVERSIDE           CA,Restaurant-Bar & Café,,,
11/8/2023,6.5,AplPay REBORN COFFEEAnaheim             CA,Restaurant-Bar & Café,,,
11/7/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
11/4/2023,14.13,TRADER JOE S #015 00RIVERSIDE           CA,Merchandise & Supplies-Groceries,,,
